idx	1_A+B	1_A-B	1_A*B	1_A==B	1/2_A+B	1/2_A-B	1/2_A*B	1/2_A==B	mx_A+B	mx_A-B	mx_A*B	mx_A==B	 
0	0.59787	0.405	0.55459	0.16328	58.8592	29.6679	52.307	4.25374	87.4229	48.638	83.6354	7.48629	
1	0.47752	0.3871	0.45041	0.11041	43.4446	24.2438	42.585	3.67916	86.2512	48.3942	83.7546	7.2308	
2	0.57789	0.51835	0.55619	0.11748	43.5262	24.2554	42.1591	3.6688	87.8963	49.4067	84.3492	7.24831	
3	0.67592	0.61709	0.69289	0.12416	43.6842	24.8592	42.3104	3.68623	86.5267	48.5029	85.1546	7.24666	
4	0.77505	0.72995	0.78376	0.11915	43.66	24.5341	42.6013	3.68998	86.9258	48.3575	84.35	7.27922	
5	0.84543	0.79919	0.89376	0.12871	44.0179	24.5779	42.5434	3.69333	86.5892	48.67	85.1342	7.29248	
6	0.93046	0.85786	0.99922	0.13753	44.8804	24.5837	42.8012	3.72495	86.94	48.3713	84.5021	7.25792	
7	0.99834	1.03411	1.12418	0.1325	44.2425	24.6571	46.4658	3.71286	87.2492	51.6746	84.6371	7.27201	
8	1.10373	1.05992	1.23374	0.13586	46.6209	24.5996	42.9967	3.71578	87.1667	49.1425	85.7846	7.2728	
9	1.22499	1.19042	1.34958	0.14047	45.155	24.7746	43.9158	3.71787	87.4066	48.7634	85.8229	7.27545	
10	1.29699	1.28009	1.48418	0.14126	44.4216	24.8204	43.2954	3.76748	90.4388	48.6754	86.4967	7.29742	
11	1.40458	1.38253	1.64495	0.15075	44.6325	26.0371	43.7559	3.72913	87.3037	48.5921	85.2296	7.65213	
12	1.45955	1.43126	1.74999	0.16336	44.7771	25.3608	43.5037	3.73576	89.9375	49.3937	85.7233	7.2984	
13	1.53828	1.52794	1.89091	0.15128	45.0692	25.0742	43.6659	3.90162	88.8266	49.695	86.345	7.6692	
14	1.62252	1.60916	2.04244	0.15499	45.1196	24.8925	44.1429	3.77622	88.4104	48.7171	85.7605	7.3063	
15	1.70372	1.71121	2.16369	0.14922	45.0688	25.0121	44.6554	3.7404	88.0375	49.0275	85.9812	7.30047	
16	1.80505	1.78003	2.34124	0.15454	45.9821	25.4146	44.2175	3.75916	87.9833	50.0312	87.3292	7.34248	
17	1.90378	1.92703	2.45289	0.16166	45.2017	25.1904	43.9954	3.80165	88.1001	48.9	86.5279	7.31292	
18	2.00377	1.9896	2.58747	0.1654	45.6746	25.1416	44.5263	3.95623	89.1192	49.3063	87.475	7.63669	
19	2.24215	2.08086	2.75835	0.16798	45.9233	25.6055	44.9262	3.76128	89.0608	52.0117	87.5129	7.36415	
20	2.17538	2.17705	2.88291	0.16881	47.0429	25.5971	44.3454	3.77254	91.8454	49.4692	86.3075	7.45626	
21	2.24118	2.4292	3.04214	0.17959	47.8641	25.2962	45.18	3.78006	90.1592	49.7208	87.8342	7.3383	
22	2.34834	2.33499	3.21672	0.18708	45.4117	25.3162	44.1704	3.78253	88.7425	49.08	85.9875	7.33792	
23	2.42415	2.4588	3.41332	0.1896	45.9718	25.44	45.0875	3.78454	89.4654	49.2266	86.2758	7.6133	
24	2.52991	2.53212	3.60744	0.18834	45.6883	25.4221	45.0046	3.78283	89.1512	49.9088	87.1158	7.34082	
25	2.58376	2.62998	3.70999	0.19625	46.24	25.4504	44.56	4.00291	89.8613	49.2867	87.2913	7.35122	
26	2.67536	2.69041	3.86203	0.19456	46.7867	26.6884	45.4654	3.8121	89.9483	50.2996	87.0262	7.7333	
27	2.80127	2.8321	4.07416	0.19335	47.8613	25.9021	45.4588	3.83087	93.6709	49.6613	86.2679	7.41212	
28	3.2446	2.83917	4.21708	0.20376	46.2154	25.605	45.0817	3.80417	89.5229	50.0121	87.0592	7.37039	
29	2.95005	2.97919	4.38455	0.19871	46.3809	25.6783	45.1313	3.82371	89.6992	49.4875	87.9309	7.40249	
30	3.02044	3.08667	4.54164	0.20415	46.5692	25.6933	45.0187	3.81456	90.5275	49.4475	87.0375	7.39084	
31	3.13619	3.15585	4.78418	0.20582	46.3563	25.755	45.9229	3.8125	89.3559	50.2521	87.1996	7.37374	
32	3.21371	3.23169	4.92661	0.21083	46.4158	27.03	45.2108	3.81586	90.2246	50.4371	87.0021	7.38294	
33	3.30079	3.32378	5.20336	0.21959	47.1899	25.8084	45.5879	3.8292	90.4717	51.5621	86.8463	7.42333	
34	3.36873	3.41663	5.30079	0.21625	46.5434	25.9104	45.5459	3.83123	90.1163	49.9417	87.9637	7.38757	
35	3.47422	3.50342	5.45703	0.21461	46.7678	25.9046	46.1584	3.83667	89.7675	49.6741	87.24	7.39631	
36	3.5587	3.60085	5.64412	0.21667	46.6909	26.2466	45.5604	3.84079	90.2241	50.6704	87.2292	7.3917	
37	3.62917	3.68208	5.81796	0.22335	47.7429	25.9979	45.7775	3.84043	91.195	49.9046	87.8671	7.44615	
38	3.71874	4.02919	6.02672	0.22918	46.8783	26.56	45.51	3.84949	91.1841	50.0383	87.9366	7.39798	
39	3.79088	3.8329	6.19291	0.22503	47.2521	26.49	46.8533	3.8517	90.0633	50.19	88.1388	7.71401	
40	3.89208	3.94873	6.40582	0.23255	47.2746	27.1787	45.9687	3.85585	90.3858	50.3312	87.7162	7.41168	
41	3.97627	4.02541	6.62714	0.23291	47.685	26.3229	46.2304	3.86455	90.4779	50.4813	87.8587	7.41826	
42	4.0895	4.10166	7.39125	0.23206	47.8675	26.2676	46.2134	3.87585	91.3529	50.3625	88.2171	7.43497	
43	4.20502	4.1425	7.10381	0.24459	47.8871	26.308	47.0263	3.89418	90.8292	50.3409	88.3437	7.58459	
44	4.20954	4.2916	7.2329	0.23749	47.6616	26.4255	47.2088	3.93952	90.493	50.3796	88.8529	7.55338	
45	4.31002	4.39748	7.47836	0.24584	48.5617	26.74	46.1492	3.91499	91.1166	51.0738	89.112	7.4592	
46	4.37333	4.44212	7.67881	0.24121	48.8046	26.4283	46.5746	4.14916	91.3512	50.7463	88.3842	7.44498	
47	4.4754	4.54751	7.87456	0.24832	48.25	26.4921	46.9746	3.88377	91.4662	50.3954	88.7396	7.82619	
48	4.5654	4.63628	8.08833	0.2479	49.1012	26.9888	47.7358	3.89707	91.4858	50.6771	88.7792	7.44958	
49	4.6279	4.70913	8.31619	0.25168	48.5792	26.6975	47.4308	3.89169	91.5212	50.7934	88.3996	7.45954	
50	4.70666	4.80832	8.56958	0.25208	48.2066	26.68	47.4308	3.90176	90.9992	50.6892	88.42	7.46662	
51	4.98999	4.87577	8.79127	0.25292	48.6109	26.6979	47.2429	3.90161	91.0238	50.5617	88.6267	7.45839	
52	4.96875	5.01999	9.11662	0.26042	48.2004	26.7525	47.1246	3.93494	90.9892	50.5404	88.6121	7.57128	
53	5.04956	5.12339	9.45506	0.26169	48.415	26.8625	47.4625	3.92116	91.3825	50.5613	88.2087	7.47082	
54	5.01995	5.15086	9.5475	0.27168	48.2108	26.8925	47.1442	3.92423	91.0433	50.5858	88.6154	7.48076	
55	5.24086	5.34825	9.93461	0.26707	51.9838	26.9213	47.3004	3.95288	91.1425	51.4267	88.7192	7.48208	
